feature,importance
IsGoForIt,3.31043666365985
ShortYardage,3.0932752916430064
IsPass,3.058461838440147
IsRush,2.9877957544808336
LongYardage,2.9696480268577505
MediumYardage,2.9350391598993646
FieldPosition,2.9300612296956303
YardLineFixed,2.93006122969563
YardsToGo,2.7431864286048997
DownToGoRatio,2.7431864286048984
OpponentTerritory,2.526666268448036
OwnTerritory,2.526666268448034
IsFieldGoalAttempt,2.3897199414559456
Quarter,2.360809804417543
GameTime,2.352916631813092
IsPuntAttempt,2.345598647114298
RedZone,2.09480404641114
LateGame,2.075310328711477
Overtime,1.5563010771410484
Down,1.0
